x,y,LOCAL_YEAR,LOCAL_MONTH,STATION_NAME,DIRECTION_MAX_GUST,MEAN_TEMPERATURE_FLAG,DIRECTION_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,MAX_REL_HUMIDITY_FLAG,TOTAL_RAIN_FLAG,TOTAL_PRECIPITATION,LOCAL_DAY,MIN_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS_FLAG,SPEED_MAX_GUST,HEATING_DEGREE_DAYS,SPEED_MAX_GUST_FLAG,ID,TOTAL_SNOW,MAX_TEMPERATURE,TOTAL_PRECIPITATION_FLAG,TOTAL_SNOW_FLAG,PROVINCE_CODE,SNOW_ON_GROUND_FLAG,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MAX_REL_HUMIDITY,CLIMATE_IDENTIFIER,MAX_TEMPERATURE_FLAG,LOCAL_DATE,MIN_REL_HUMIDITY_FLAG,SNOW_ON_GROUND,MIN_TEMPERATURE,TOTAL_RAIN,MEAN_TEMPERATURE
-71.38166666666666,46.80361111111111,2020,2,QUEBEC/JEAN LESAGE INTL,34,,,0,,,0,4,,,39,22.3,,701S001.2020.2.4,,-1.3,,,QC,,,49,90,701S001,,2020-02-04 00:00:00,,50,-7.3,,-4.3
-71.38166666666666,46.80361111111111,2020,2,QUEBEC/JEAN LESAGE INTL,29,,,0,,,0,5,,,33,31.4,,701S001.2020.2.5,,-5.2,,,QC,,,48,84,701S001,,2020-02-05 00:00:00,,48,-21.7,,-13.4
-71.38166666666666,46.80361111111111,2020,2,QUEBEC/JEAN LESAGE INTL,6,,,0,,,7.9,6,,,40,28.2,,701S001.2020.2.6,,-4.9,,,QC,,,68,91,701S001,,2020-02-06 00:00:00,,48,-15.5,,-10.2
-71.38166666666666,46.80361111111111,2020,2,QUEBEC/JEAN LESAGE INTL,3,,,0,,,17.4,7,,,52,26.5,,701S001.2020.2.7,,-5.4,,,QC,,,68,90,701S001,,2020-02-07 00:00:00,,70,-11.6,,-8.5
-71.38166666666666,46.80361111111111,2020,2,QUEBEC/JEAN LESAGE INTL,26,,,0,,,0,8,,,37,33.6,,701S001.2020.2.8,,-11.5,,,QC,,,53,78,701S001,,2020-02-08 00:00:00,,76,-19.7,,-15.6
-71.38166666666666,46.80361111111111,2020,2,QUEBEC/JEAN LESAGE INTL,,,,0,,,0,9,,,,38.8,,701S001.2020.2.9,,-11.2,,,QC,,,49,88,701S001,,2020-02-09 00:00:00,,67,-30.4,,-20.8
-71.38166666666666,46.80361111111111,2020,2,QUEBEC/JEAN LESAGE INTL,,,,0,,,4.6,10,,,,24.7,,701S001.2020.2.10,,-1.8,,,QC,,,83,95,701S001,,2020-02-10 00:00:00,,67,-11.7,,-6.7
-71.38166666666666,46.80361111111111,2020,2,QUEBEC/JEAN LESAGE INTL,,,,0,,,0.1,11,,,,21.2,,701S001.2020.2.11,,-1.8,,,QC,,,86,94,701S001,,2020-02-11 00:00:00,,68,-4.7,,-3.2
-71.38166666666666,46.80361111111111,2020,2,QUEBEC/JEAN LESAGE INTL,22,,,0,,,0.1,12,,,39,21.5,,701S001.2020.2.12,,-0.3,,,QC,,,61,92,701S001,,2020-02-12 00:00:00,,69,-6.7,,-3.5
-71.38166666666666,46.80361111111111,2020,2,QUEBEC/JEAN LESAGE INTL,7,,,0,,,1.5,13,,,36,28.9,,701S001.2020.2.13,,-2.3,,,QC,,,57,92,701S001,,2020-02-13 00:00:00,,67,-19.5,,-10.9
